X,Y,Z
-76,715,1442
-65,734,1452
-62,716,1456
-59,724,1470
-69,722,1479
-55,719,1477
-53,707,1490
-48,715,1493
-54,712,1499
-41,715,1500
-56,712,1507
-44,712,1492
-54,712,1497
-31,703,1510
-47,710,1515
-37,715,1503
-46,714,1501
-56,706,1508
-49,707,1504
-44,704,1504
-47,704,1505
-43,705,1506
-45,705,1509
-132,1034,1812
-321,1901,1785
615,-561,-120
-194,1312,1510
682,-661,-1489
-155,1490,1130
-169,1582,1577
-173,1391,1148
-190,1493,1309
-177,2317,548
618,-1030,325
-93,1660,484
595,-1411,379
264,854,-1276
66,1319,-328
-182,2012,510
48,1356,-426
569,-489,-656
321,-376,1874
79,1239,-691
95,60,1918
622,-1055,823
566,-679,-327
595,-619,-255
606,-1057,878
15,372,1627
181,1032,-993
144,-134,1828
542,-875,367
153,1077,-1016
57,1333,-852
214,998,-779
568,-885,765
87,5,1408
228,957,-669
-63,931,721
445,-1211,1886
565,-823,1320
524,-1204,1720
263,-412,1439
-192,1681,-572
503,-730,1144
-167,1635,-581
305,-627,1463
545,-1031,1607
547,-1019,1502
458,-1232,1604
2,357,212
153,1192,-28
13,114,241
503,-1096,1515
529,-701,1425
516,-333,1289
543,-618,1401
579,-860,1521
468,-1082,1364
276,-724,908
6,57,139
-160,1419,-405
-77,1942,-261
270,929,697
555,-694,1425
390,-1087,1176
1,158,23
-190,1682,-492
172,1416,357
546,-530,1393
352,-942,1088
-72,616,-162
-96,1870,-292
360,541,1079
491,-1021,1372
37,84,25
-135,1745,-375
207,796,855
500,-982,1437
134,-45,109
-181,1734,-343
278,548,1102
492,-1060,1246
-18,637,-137
-87,1702,35
373,-248,1376
372,-744,830
-76,1221,-337
-73,1336,443
462,-613,1483
414,-316,340
-192,1615,-256
-32,812,1003
505,-940,1259
142,395,-57
-220,1757,-106
226,202,1269
468,-831,1010
-3,1028,-265
-159,1408,405
381,-465,1501
443,-458,525
-151,1393,-342
-157,1083,867
508,-810,1305
-61,1103,-284
-188,1391,476
378,-349,1447
448,-398,467
-119,1435,-224
-131,866,1014
564,-811,1234
155,495,-6
-322,1619,185
336,-150,1402
567,-407,530
-204,1323,-119
-280,1018,949
543,-649,1206
293,351,121
-354,1558,247
140,185,1261
598,-533,825
-115,1131,-55
-386,1210,773
487,-452,1283
477,141,232
-379,1587,130
-18,395,1195
635,-659,979
145,775,-9
-370,1426,551
363,-270,1331
618,-252,457
-253,1476,73
-196,668,1065
623,-669,1136
286,495,75
-392,1540,364
244,-113,1341
605,-412,635
-141,1211,-72
-365,1117,868
567,-593,1200
342,360,148
-354,1609,204
88,262,1227
620,-524,804
-89,1121,-47
-384,1139,847
507,-529,1264
425,193,192
-370,1622,223
147,151,1314
620,-549,813
5,976,-72
-388,1359,569
336,-268,1318
588,-156,381
-300,1502,29
-172,715,1041
604,-734,1108
154,706,-10
-326,1505,361
375,-281,1385
517,-325,458
-214,1446,-173
-155,928,992
511,-746,1263
-70,1207,-257
-126,1154,737
480,-699,1359
245,15,134
-207,1806,-52
364,-4,1298
386,-866,972
-108,1173,-290
38,1374,324
561,-820,1516
153,-168,249
-163,1811,-374
447,398,1081
449,-1163,1182
-206,1039,-257
190,1521,187
674,-950,1408
76,-370,514
-209,1761,-408
633,513,910
469,-1190,1228
-267,858,-260
195,1968,-67
835,-842,1345
36,-346,501
-241,1762,-461
699,668,703
625,-1007,1311
-325,272,-17
85,1727,-250
943,-239,1113
228,-987,1037
-299,1345,-381
499,1182,168
782,-1082,1310
-184,-52,280
-109,1725,-432
1036,243,975
367,-1107,987
-342,1136,-267
469,1316,68
859,-915,1248
-57,-411,530
-203,1558,-358
834,640,537
592,-907,1175
-366,229,63
101,1632,-216
1080,-24,1001
217,-783,901
-337,1075,-234
511,1233,146
799,-875,1196
-182,-12,354
-70,1544,-307
1049,228,886
343,-880,1040
-433,715,-61
437,1471,-8
853,-699,1157
-55,-279,580
-183,1479,-288
890,560,636
702,854,353
714,-754,1135
-302,112,306
-6,1444,-139
1111,209,867
265,-709,927
-368,786,-8
502,1349,115
878,-500,1073
-34,-262,645
-164,1315,-159
955,519,654
574,-756,1066
-405,393,140
447,1261,167
982,-292,965
93,-542,822
-128,1208,-120
794,706,522
654,-659,1103
-340,198,302
287,1304,-8
1037,68,911
312,-684,951
-279,773,47
620,1032,258
774,-582,1102
-96,-232,527
58,1283,-97
1046,382,759
447,-709,1051
-372,477,53
473,1340,25
870,-610,1168
41,-621,664
-206,1379,-235
954,528,755
544,-852,1157
-455,454,6
397,1530,-50
935,-712,1232
72,-648,746
-306,1578,-436
784,770,601
589,-1017,1258
-358,376,-98
197,1806,-360
895,-161,1246
311,-1089,1122
-307,1326,-450
460,1147,219
822,-932,1480
-83,-290,361
-153,1655,-451
876,412,891
365,-1043,1168
-281,907,-298
236,1918,-211
865,-810,1387
30,-395,529
-268,1658,-573
700,865,652
688,-1241,1423
-298,1369,-531
570,1127,458
784,-1116,1390
-264,-12,127
-37,1788,-507
896,-23,1131
297,-1059,1176
-332,1085,-328
406,1342,7
772,-913,1445
-74,-292,421
-263,1754,-488
902,550,797
469,-1044,1164
-357,811,-228
401,1455,-54
811,-974,1359
-142,-155,356
-398,720,-189
366,1564,-40
929,-845,1281
130,-705,731
-311,1628,-483
764,685,626
638,-980,1311
-321,111,54
36,1682,-194
999,-184,1066
-51,-265,408
-209,1713,-508
911,418,898
504,-1140,1218
-391,627,-187
304,1750,-56
